id,participant_id,condition,mental_effort_rating,url,true_classification,reaction_time_ms,page_load_time,button_click_time,human_action,human_action_result,accuracy,view_information_clicked,conditions_seen,condition_times,adaptable,freeze_probe_answer,created_at
1,1143J,3,75,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,2142,1759306027700,1759306029842,allow,URL allowed,1,,[3],[2141],t,green,2025-10-01 10:10:23.266112
2,1143J,3,75,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,8611,1759306223328,1759306231939,allow,URL allowed,1,,[3],[8609],t,green,2025-10-01 10:10:33.312515
