id,participant_id,condition,mental_effort_rating,url,true_classification,reaction_time_ms,human_action,human_action_result,accuracy,view_information_clicked,created_at
35,1024J,3,41,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,8245,block,"URL blocked",1,,"2025-09-17 10:25:11.571080"
36,1024J,3,1,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,3965,allow,"URL allowed",1,,"2025-09-17 10:25:19.877610"
37,1024J,3,2,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,3839,block,"URL blocked",1,,"2025-09-17 10:25:27.300926"
38,1024J,3,4,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,5280,block,"URL blocked",1,,"2025-09-17 10:25:35.368393"
39,1024J,3,3,https://www.usa.gov/visas-and-immigration,Non-Malicious,14390,allow,"URL allowed",1,,"2025-09-17 10:25:55.707018"
40,1024J,3,27,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,9126,block,"URL blocked",0,,"2025-09-17 10:26:12.723295"
41,1024J,3,29,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,15430,block,"URL blocked",1,,"2025-09-17 10:26:34.379371"
42,1024J,3,31,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,5471,block,"URL blocked",1,,"2025-09-17 10:26:47.128300"
43,1024J,3,14,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,3621,block,"URL blocked",1,,"2025-09-17 10:26:53.739797"
44,1024J,3,4,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,3503,allow,"URL allowed",1,,"2025-09-17 10:27:00.692139"
45,1024J,3,9,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,4879,block,"URL blocked",1,,"2025-09-17 10:27:09.236764"
46,1027l,4,75,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,37395,confirm,"URL allowed",1,1,"2025-09-17 10:28:30.473109"
47,1027l,4,125,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,13160,override,"URL blocked",0,0,"2025-09-17 10:28:46.641834"
48,1027l,4,6,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,1955,override,"URL allowed",0,0,"2025-09-17 10:28:52.354460"
49,1027l,4,27,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,14092,confirm,"URL allowed",1,0,"2025-09-17 10:29:10.303087"
50,1027l,4,64,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,14955,confirm,"URL blocked",1,0,"2025-09-17 10:29:29.293952"
51,1027l,4,37,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,8193,confirm,"URL allowed",1,1,"2025-09-17 10:29:40.583844"
52,1027l,4,27,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,5298,confirm,"URL blocked",1,0,"2025-09-17 10:29:49.025041"
53,1027l,4,141,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,2715,override,"URL allowed",0,0,"2025-09-17 10:29:58.208545"
54,1027l,4,0,https://www.usa.gov/visas-and-immigration,Non-Malicious,8766,override,"URL blocked",0,1,"2025-09-17 10:30:11.670785"
55,1027l,4,21,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,8852,confirm,"URL allowed",1,0,"2025-09-17 10:30:25.256947"
56,1027l,4,75,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,11047,confirm,"URL blocked",1,1,"2025-09-17 10:30:38.894854"
57,1027l,4,75,"https://secure-banking-login-verification.com/аccount/security/updаte",Malicious,3994,confirm,"URL blocked",1,0,"2025-09-17 10:30:44.984578"
58,1027l,4,75,https://secure-paypal-verification-urgent.tk/account/security/update-now,Malicious,9499,confirm,"URL blocked",1,1,"2025-09-17 10:30:56.219898"
59,1027l,4,75,https://web.mit.edu/18.06/www/Spring17/Spring17.html,Non-Malicious,19236,confirm,"URL allowed",1,1,"2025-09-17 10:31:17.362560"
60,1027l,4,75,https://bitcoin-double-investment-now.cf/secure-wallet/claim-rewards,Malicious,12351,override,"URL allowed",0,1,"2025-09-17 10:31:31.867909"
61,"10:33 A",5,50,https://spg.ethz.ch/group/people/doctoral-students/neele-roch.html,Non-Malicious,39514,none,"URL allowed",1,1,"2025-09-17 10:34:08.385800"
62,"10:33 A",5,50,https://www.linkedin.com/in/johndoe123/recent-activity/,Non-Malicious,26135,none,"URL allowed",1,1,"2025-09-17 10:34:41.334492"
63,"10:33 A",5,85,https://microsoft-security-alert-urgent.ml/support/remote-access/fix-now,Malicious,13649,override,"URL allowed",0,1,"2025-09-17 10:36:21.798260"
64,"10:33 A",5,85,https://discount-electronics-store.net/shop/electronics/phones/smartphones/prizes,Non-Malicious,74297,none,"URL allowed",1,1,"2025-09-17 10:37:44.650909"
65,"10:33 A",5,40,https://chase-bank-security-update-required.ga/online-banking/login/verify,Malicious,9714,none,"URL blocked",1,1,"2025-09-17 10:37:59.467356"
66,"10:33 A",5,25,https://www.bbc.com/news/technology/2024/01/15/artificial-intelligence-breakthrough,Non-Malicious,6826,none,"URL allowed",1,1,"2025-09-17 10:38:12.322388"
67,"10:33 A",5,25,https://free-gift-card-claim-now.xyz/secure-verification/account-update,Malicious,8067,none,"URL blocked",1,1,"2025-09-17 10:38:25.710968"
68,"10:33 A",5,25,https://euro-millions-winner-claim-prize.gq/verify-identity/collect-now,Malicious,7372,none,"URL blocked",1,1,"2025-09-17 10:38:37.942733"
69,"10:33 A",5,35,https://www.usa.gov/visas-and-immigration,Non-Malicious,5561,none,"URL allowed",1,0,"2025-09-17 10:38:51.416385"
70,"10:33 A",5,51,https://shop.amazon.com/dp/B08N5WRWNW/ref=sr_1_1,Non-Malicious,30326,none,"URL allowed",1,1,"2025-09-17 10:39:29.958890"
71,"10:33 A",5,26,https://instagram-account-verification-urgent.tk/verify/identity/restore-access,Malicious,9140,none,"URL blocked",1,0,"2025-09-17 10:39:43.881195"
